Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1954-1861,Section 1: Weimar,,,N/A,
Diary 1954-1861,1854-07-20,14-15,39-40,N/A,Box Link: https://unl.box.com/s/j0zynl9nj9cp4xrl498oz4n1q3pe1wmw Omeka Link: https://georgeeliotarchive.org/admin/items/show/3150
Diary 1954-1861,1854-07-22,15-16,40-41,N/A,"22nd. We went to the Museum and saw Rubens's Crucifixion, even more
beautiful to me than the Descent from the Cross. These two pictures profoundly impressed me with the miserable lack of breadth and grandeur in the conceptions of our living artists. The reverence for the old masters is not all humbug and superstition. At the Church of St. Paul we saw some marvellous wood carving by Verbruggen. For roundness, grace and expression I have rarely seen anything equal to it even in marble. On the outside of this church, there is an elaborate representation of Calvary- puerile, like the faith it embodies, but impressive, like everything else that attempts -even if it only attempts - to make the past vividly present. At the church of St.Jacques we saw the famous altar-piece - a Holy Family presenting portraits ofRubens, his two wives, and his Father (as Time). At the Museum, we were rather disappointed in the bull's head (in the adoration of the Magi) so much lauded by Ruskin. He dwells on the simplicity of the means by which Rubens has here produced so striking an effect - the few bold dashes of the brush by which the head is made to stand out with such reality in the picture. But on examination the texture does not appear so slight as he leads one to expect. A picture of Card-players by Valentin was the only thing that delighted us here, besides the Crucifixion. We took our coffee in
the Café Français and spent our evening in listening to an excellent band which was serenading the Governor on the occasion ofhis being knighted."
Diary 1954-1861,1854-07-23,16,41,N/A,"23. Sunday. We were grilled in the Railway carriage this morning on our way to Brussels, and glad to find ourselves havened in the comfortable Hotel de Belgique, kept by a Mlle van Stockeran. On walking out in the evening we were struck with the palatial appearance of the Haute Ville, especially in the Rue Royale, and around the Park. Standing against the statue of the Comte de Belliard, we saw the sun set behind the spire of the Hotel de Ville - a spire which reminded me of Scott's monument at Edinburgh . Then we went to a concert in the Park, and en joyed seeing the people looking cheerful at their little tables with their glass oflemonade or sirop, or their cup of coffee."
Diary 1954-1861,1854-07-24,16,41,N/A,"24. We rambled about the town from breakfast till 1. St. Gudule, the principal church, is very magnificent. The front is a fine specimen of Gothic and the interior, which is very carefully and tastefully kept is rich in fine effects of painted glass, seen through labyrinthine arches. Orange trees are ranged along each side of the nave. We found the Basse Ville very picturesque - the Grand Place where stands the Hotel de Ville especially fine. A gallery or arcade of shops - La galérie de la Reine- is remarkably elegant. We strolled into the Marché aux Fleurs and there bought some cheap French novels. Our aching legs and melting bodies at last reached the Pare, where we rested under the shade a little while and then came home to dinner. A cavalry officer is the only other inmate of our hotel. In the evening we walked to the Zoological Gardens flattering ourselves that we were going to hear a concert by the band of the ""Guides""; but we were only just in time to see them quit the orchestra. However we had a pretty view of houses, trees and water from the gardens, and were consoled for our disappointment by the pleasure we had in strolling through the Basse Ville by starlight. The smells in the streets are sickening."
Diary 1954-1861,1854-07-25&26,16,41,N/A,"25 and 26. Short rambles in the morning, lying melting on our beds through the middle of the day, and our one evening resort, the concert in the Park filled up these two days. We saw the famous Mannikin and took chocolate at the Cafe aux Milles Colonnes; went to the Messageries to inquire about our luggage with
no other result than a colloquy with a hideous, uncivil man installed there as
chief functionary."
Diary 1954-1861,1854-07-27,16-17,41-42,N/A,"27 Thursday. We rose at sand set off for Namur. Our companions in the 2nd class carriage were some disgustingly coarse Belgians with baboonish children. Passed a train full of soldiers who set up a hideous howl, meant for singing. Every attempt at vocal music which we have happened to hear in Belgium has been of the same sort. When we reached Namur, it still rained a little, but after we had dined we managed to take a survey of the town, and to walk up a hill close to the fortifications from which we had a pleasant view suggestive of quiet industry. Our railway journey along the Meuse served to show us how much beauty there is on its banks, but was too rapid to allow of our enjoying it. The saloon, with its sofas and glass sides is a perfect contrivance. About s we reached the Hotel de l'Europe at Liege and had our tea in my bedroom, from the window of which there is an enchanting view of rich and varied foliage flanked by stately heights covered with buildings. We spent the evening in walking about Liege and were in a state of rapture at its beauty-entirely unlike anything we had seen before. The rich green everywhere breaking the lines of the picturesque houses, the amphitheatre of richly wooded hills which surround the valley of the Meuse and of which one catches sight here and there at the end of a street, the fine Boulevard leading to the river-everything we saw was beautiful. We determined to stay here through Friday and defer our departure for Cologne until Saturday morning."
Diary 1954-1861,1854-07-28,17,42,N/A,"28. We went the first thing to the Church of St. Jacques - perhaps the finest thing we have seen on our journey. Forms, proportions, colouring-all is harmony, and we sat for half an hour wrapt in delicious contemplation. The delicate cream colour of the stone has an effect almost equal to that of marble in beauty- perhaps quite equal in its way. We came here again in the evening to hear the organ, but the Belgian voices which accompanied it or rather overpowered it prevented us from getting much extra enjoyment out of the music. The church warden's wife told us that some English artists had been engaged for 4 years in this church and had produced a thick quarto volume of drawings from it. Next to this delight came the Palais de Justice, formerly the palace of the Prince Bishop. The interior court with its colonnade of elaborately sculptured arches in grey stone is unique in my experience. One side has been restored and shews in perfection the varied patterns of the columns. We had a drive in an open carriage through the town to the Casino, a charming place with heights from which we had a fine view of Liege and its environs. On returning we saw the statue of Gretry. In the evening after going to St.Jacques we had another drive and then a farewell walk to our beloved Palais de Justice and to the Quay."
Diary 1954-1861,1854-07-29,17-18,42-43,N/A,"29. We set off by the 9 o'clock train for Cologne. The country from Liege to Vervier was striking} y beautiful. At Vervier Dr. Brabant joined us in our
carriage. Cologne looked very dismal as we passed through it in the omnibus on our way to the Hotel de Holland e. After dinner Dr. Brabant called to tell us that Strauss was residing in Cologne and would receive us the next morning at 9. We went with Dr. B. to see the Cathedral. When I entered itthe sight of the ugly wall which shuts out the choir - the proper vista of the nave, shocked me as one would be shocked by an ugly wooden arm attached to an exquisite marble torso. In the evening we had a ramble through the town, which looked more endurable by the soft evening light- but its grand characteristics are the multitude of churches and the multiplicity of smells . On our return we found
Dr. Brabant who came to tell us that Strauss would call on us in the morning."
Diary 1954-1861,1854-07-30,18,43,N/A,"30 Sunday. We breakfasted in the public room and were joined there by Dr. B. and Strauss. After a short interview with them we went on board the steamboat which was to take us to Coblentz. I did not expect much pleasure from [the) Rhine, so I took all that came with a good grace. In Coblentz I was rather disappointed, but it had still much beauty for me. The affectionate manners of
the waiter at the hotel (Trois Suisses) were amusing. The view from the bridge over the Moselle was a fine picture. So was that from our hotel windows looking on Ehrenbreitstein and the bridge ofboats. We remarked the great number of deformed people here. In one short evening walk we met 10 or 12 of them."
